question_number,question,optionA,optionB,optionC,optionD,CorrectAnswer
1,You're driving a double-deck bus. What's the minimum depth of tread required over three-quarters of each tyre's width?,0.8 mm,1 mm,1.6 mm,2 mm,1 mm
2,What's a 'Red Route'?,An area where special waiting restrictions apply,An area where part-time traffic lights operate,An area where drivers have to pay a toll,An area where night-time and weekend weight limits apply,An area where special waiting restrictions apply
3,How is a strong wind likely to affect your bus?,Steering will be easier,Your stopping distances will be reduced,Your stopping distances will be greater,Steering will be more difficult,Steering will be more difficult
4,"You're driving a slow-moving vehicle on a narrow, winding road. What should you do to let other vehicles overtake you?",Wave them past,Stop in a safe place,Show a left-turn signal,Drive more slowly,Stop in a safe place
5,"At an incident, you suspect a casualty has back injuries. What's the best way to help them?",Offer them a drink,Leave them where they are,Raise their legs,Offer them a cigarette,Leave them where they are
6,Your coach often tows a trailer. How often should you check the trailer tyres for pressure?,At least once a week when they're cold,At least once a month when they're hot,At least once a week when they're hot,At least once a month when the trailer is fully laden,At least once a week when they're cold
7,What must be clearly displayed on your bus?,The route timetable,The location of all bus stops,The emergency-exit location,Your employee number,The emergency-exit location
8,You're approaching a red light at a puffin crossing. Pedestrians are on the crossing. How long will the red light stay on?,Until you start to edge forward onto the crossing,Until the pedestrians have reached a safe position,Until the pedestrians are clear of the front of your vehicle,Until a driver from the opposite direction reaches the crossing,Until the pedestrians have reached a safe position
9,What could prevent air pressure from building up in an air-brake system in frosty weather?,Moisture in the air may form bubbles in the brake fluid,"The air will contract, reducing the pressure",The dampness may cause valves to rust,Moisture drawn in with the air may freeze and cause a blockage,Moisture drawn in with the air may freeze and cause a blockage
10,When can a bus driver use hazard warning lights?,When children are getting off a school bus,To thank a driver who has given way,When stopping at a pedestrian crossing,When parking a bus on yellow lines,When children are getting off a school bus
11,Where may passengers be thrown when a bus takes a bend too fast?,Towards the outside of the bend,Towards the inside of the bend,Towards the front of the bus,Towards the rear of the bus,Towards the outside of the bend
12,When may the built-in TV and video equipment be used on a coach?,When the coach is moving slowly,When it can't be seen by the driver,During long motorway journeys,During a coach tour,When it can't be seen by the driver
12,When may the built-in TV and video equipment be used on a coach?,When the coach is moving slowly,When it can't be seen by the driver,During long motorway journeys,During a coach tour,When it can't be seen by the driver
14,You're driving a bus on a local service. When can you use this lane?,Between 4pm and 6:30pm only,Before 4pm and after 6:30pm only,At any time of the day,Any time except Saturdays,Before 4pm and after 6:30pm only
15,A bus stop is blocked and you can't get into it. What's the most important thing you should do before opening the exit door?,Try to get the bus stop cleared,Carry on to the next bus stop,Check for traffic on the left,Check for traffic on the right,Check for traffic on the left
16,Which road users are more vulnerable at night in built-up areas?,Drivers of black taxi cabs,Drivers of double-deck vehicles,Cyclists,Ambulance drivers,Cyclists
17,What's the most powerful brake on a bus?,Secondary brake,Anti-lock braking system,Endurance brake (retarder),Service brake,Service brake
18,What should you be on the lookout for before changing lanes in slow-moving queuing traffic?,Private-hire taxis,Breakdown vehicles,Filtering motorcyclists,Traffic cones,Filtering motorcyclists
19,What does the term 'maximum authorised mass' (MAM) mean?,"The maximum permissible weight of your vehicle, with passengers but no luggage","The maximum permissible weight of your vehicle, without passengers or luggage","The maximum permissible weight of your vehicle, with luggage but no passengers","The maximum permissible weight of your vehicle, with both luggage and passengers","The maximum permissible weight of your vehicle, with both luggage and passengers"
