question_number,question,optionA,optionB,optionC,optionD,CorrectAnswer
1,How wide does a load need to be before an attendant is required?,2.6 metres (8 feet 5 inches),3.0 metres (9 feet 9 inches),3.3 metres (10 feet 9 inches),3.5 metres (11 feet 5 inches),3.0 metres (9 feet 9 inches)
2,What period of time does one tachograph chart cover?,24 hours,48 hours,5 days,7 days,24 hours
3,What should you do if the load on your lorry becomes insecure?,Continue at a slower speed to ensure the load doesn't fall off,Attach 'hazard' boards to the load to warn other road users,Park and resecure the load before continuing,Inform base at the earliest opportunity,Park and resecure the load before continuing
4,What would help to reduce the impact that your lorry has on the environment?,Driving through town centres,Braking in good time,Planning routes to avoid motorways,Racing to make up time,Braking in good time
5,"In frosty weather, what precaution could a lorry driver take to prevent moisture from freezing in the air-brake system?",Drain the air tanks daily,Cover the air tanks with a blanket,Keep the engine at high revs when starting,Pump the brakes,Drain the air tanks daily
6,What's the main reason for cleaning your wheels and tyres when you leave a building site?,To keep the tyres in good condition,To prevent the tyres from damaging the road surface,To reduce air leakage from the tyre valves,To stop mud dropping onto the road,To stop mud dropping onto the road
7,Why should you check for motorcyclists just before turning right into a side road?,They might be overtaking on your left,They might be following you closely,They might be emerging from the side road,They might be overtaking on your right,They might be overtaking on your right
8,What should you do if you lose your way in heavy traffic?,Stop at traffic lights and ask pedestrians,Shout to other drivers to ask them the way,Drive on until you find a safe place to stop,Check a map as you keep moving with the traffic,Drive on until you find a safe place to stop
9,What shape are the labels that indicate a vehicle is carrying hazardous cargo?,Diamond,Triangle,Circle,Oval,Diamond
10,When should your lorry coupling system (fifth wheel) be checked and lubricated?,Only prior to an MOT test,Every 6 months,Yearly,Regularly,Regularly
11,What colour is the auxiliary line on a three-line braking system?,Red,Blue,Green,Yellow,Blue
12,You're at the scene of an incident. What does it mean if there's a plain orange rectangle displayed on one of the vehicles?,It's carrying dangerous goods,It's carrying a first-aid kit,It's carrying medical supplies,It's unladen,It's carrying dangerous goods
13,What should the hard shoulder on a motorway be used for?,As a place to stop to answer a mobile phone,As a place to stop when an emergency arises,As a place to stop for a short rest when you're tired,As a place to stop to check a road atlas,As a place to stop when an emergency arises
14,Why are straps unsuitable to tie down a load of scrap metal?,Straps are hard to secure,Straps will slip in rain,Straps will damage the load,Straps can wear and snap,Straps can wear and snap
15,You're driving your lorry on the motorway. What should you do when visibility is reduced by heavy rain and spray?,Maintain a constant speed,Use main-beam headlights,Double your dry-weather separation distance,Stay in the left-hand lane,Double your dry-weather separation distance
16,What does this warning light on the instrument panel mean?,Low oil pressure,Battery discharge,Braking-system fault,Door open,Braking-system fault
17,Why do motorcyclists use dipped headlights in the daytime?,To make themselves more easily seen,To stop the battery overcharging,To improve their vision,To scare wildlife off the road,To make themselves more easily seen
18,You're driving on a motorway. What does it mean when a lorry ahead of you switches on its hazard warning lights?,There are speed cameras ahead,The lorry is about to overtake,The lorry is leaving the motorway,Traffic further ahead may be stopping,Traffic further ahead may be stopping
19,You're driving a lorry carrying a load that's 4.5 metres (14 feet 9 inches) wide. What's the maximum speed you're allowed to drive on a motorway?,10 mph,20 mph,30 mph,40 mph,40 mph
20,You're approaching a bridge that has no height restriction on it. What's the minimum height under the bridge?,3.6 metres (11 feet 10 inches),4.4 metres (14 feet 5 inches),4.8 metres (16 feet),5 metres (16 feet 6 inches),5 metres (16 feet 6 inches)
21,What should you do if your tachograph chart becomes dirty or damaged?,Continue with the same chart and enter the details in writing,Use a spare chart and destroy the damaged one,Use a spare chart and attach it to the damaged one,Continue to use the chart,Use a spare chart and attach it to the damaged one
22,When is a buffer lane most likely to be in use?,When it's windy,When it's raining,When it's foggy,When it's icy,When it's windy
23,You're driving a vehicle that's over 17 metres (55 feet) long. What should you do at a level crossing?,Cross over using your horn and hazard warning lights,Stop before the crossing and phone the signal operator,Increase your speed to clear the crossing quickly,Stop before the crossing and look both ways before going on,Stop before the crossing and phone the signal operator
24,You're driving a lorry with a sleeper cab. When would a quick sideways glance be helpful?,After driving over a pedestrian crossing,When traffic is merging from the right or left,Before climbing a steep hill,When driving round sharp bends,When traffic is merging from the right or left
25,You hit the kerb at speed. What part of your vehicle should you check for damage?,Exhaust,Brakes,Lights,Tyres,Tyres
26,You're on a motorway. Your lorry has a maximum authorised mass of more than 7.5 tonnes. What does this sign mean to you?,You mustn't use the right-hand lane,You can only use the right-hand lane,You can't leave the motorway at this junction,You can use the middle or right-hand lane,You mustn't use the right-hand lane
27,You're delivering boxes of chilled food to a supermarket. What specific training would you need?,Hygiene procedures,ADR procedures,Waste-handling procedures,Fuel-efficient driving procedures,Hygiene procedures
28,You'll be driving your vehicle in Europe. Which of these documents must you carry?,The vehicle service record,Your medical examination form,Your national driving licence,The vehicle workshop manual,Your national driving licence
29,Tankers carrying liquids can experience the 'wave effect'. What helps to reduce this problem?,Spray guards,Harsh braking,Baffle plates,Wind deflectors,Baffle plates
30,You're driving a lorry weighing more than 7.5 tonnes on a dual carriageway in England. What does this sign mean?,Maximum speed 40 mph,Maximum speed 50 mph,Maximum speed 60 mph,Maximum speed 70 mph,Maximum speed 50 mph
31,"At the scene of an incident, an injured person is lying in a busy road. What's the first thing you should do to help?",Treat the person for shock,Warn other traffic,Place them in the recovery position,Make sure the injured person is kept warm,Warn other traffic
32,What would you secure with a dog clip?,The kingpin release handle,The air lines,The parking brake,The diff-lock,The kingpin release handle
33,You're a driver who's certified to carry dangerous goods. How long is your certificate valid?,One year,Two years,Five years,Ten years,Five years
34,You're driving an articulated lorry. What could happen if you change to a lower gear while you're going too fast?,The vehicle could jack-knife,The engine could stall,The brakes could fail,The trailer could uncouple,The vehicle could jack-knife
35,You're driving on a dual carriageway and intend to overtake the vehicle ahead. What should you do if there's a car approaching quickly behind you in the right-hand lane?,Stay behind the slower vehicle,Signal right and move out,Move up closer to the slower vehicle,Signal left while waiting for the car to pass,Stay behind the slower vehicle
36,What does this temporary sign mean for drivers of vehicles over 7.5 tonnes maximum authorised mass?,Use either the left-hand or middle lane,Use only the left-hand lane,Use only the middle lane,Use any lane,Use only the left-hand lane
37,Why should your engine oil be changed at the recommended intervals?,To reduce friction and wear,For better steering control,To prevent oil leaks,To improve clutch wear,To reduce friction and wear
38,Why is it important to adjust your head restraint properly?,To make you more comfortable,To protect your neck in a collision,To help you relax while you're driving,To maintain a good driving position,To protect your neck in a collision
39,What happens at toucan crossings?,You only stop when a pedestrian is waiting,Cyclists aren't permitted,There's a continuously flashing amber beacon,Pedestrians and cyclists may cross together,Pedestrians and cyclists may cross together
40,"You've been driving a lorry without a break for four-and-a-half hours. Under EU rules, you must now take a break. How long must this break be?",30 minutes,35 minutes,40 minutes,45 minutes,45 minutes
41,Where are you most likely to find pedestrians stepping into the road?,Motorways,One-way streets,Wooded areas,Shopping areas,Shopping areas
42,What should you do before driving your lorry away from a wet construction site at the side of a motorway?,Turn on your amber beacon,Drain the air tanks,Hose down the wheels,Set your tachograph to 'other work',Hose down the wheels
43,Why should you carry out a daily walk-round check before setting off?,To check your route,To check for any parking violations,To check your schedule,To check for any defects,To check for any defects
44,What would be illegal?,Using different makes of tyre on the same axle,Using a tyre with a recut tread,Using a tyre with a tread depth of 1.3 mm,Using a tyre with exposed ply or cord,Using a tyre with exposed ply or cord
45,When should wheel nuts be checked?,After driving down a steep hill,Soon after initial tightening,Just after driving on a motorway,After unloading,Soon after initial tightening
46,Where should you park your vehicle before checking the engine oil level?,On sloping ground,On a steep gradient,On flat ground,On a downhill slope,On flat ground
47,Your vehicle has broken down at night on a two-way road. How should you try to leave the vehicle?,On the left of the road,Partly on the pavement,On a grass verge,On the right of the road,On the left of the road
48,When are air deflectors most effective?,When there's a side wind,When there's a headwind,When reversing,When there's a strong tailwind,When there's a headwind
49,You're at the scene of an incident. How can you help someone suffering from shock?,Reassure them confidently,Offer them a cigarette,Keep them moving,Give them a warm drink,Reassure them confidently
50,Which of the following is important when you're getting out of a lorry cab?,Checking your load is secure,Using the mirrors,Turning off the radio,Disconnecting the air lines,Using the mirrors
