question_number,question,optionA,optionB,optionC,optionD,CorrectAnswer
1,What should you do to help stay safe when you're riding in fog?,Keep close to the vehicle in front,Keep the vehicle in front in view,Keep close to the centre of the road,Keep your visor or goggles clear,Keep your visor or goggles clear
2,Other drivers may sometimes flash their headlights at you. What's the official meaning of this signal?,There's a radar speed trap ahead,They're giving way to you,They're warning you of their presence,There's a fault with your vehicle,They're warning you of their presence
3,You're turning right at a large roundabout. What should you do before you cross a lane to reach your exit?,Take a lifesaver glance over your right shoulder,Put on your right indicator,Take a lifesaver glance over your left shoulder,Cancel the left indicator,Take a lifesaver glance over your right shoulder
4,You're riding a motorcycle that has an engine of less than 50 cc. What should you do if you see a queue of traffic building up behind?,Keep well out to stop vehicles overtaking dangerously,Wave vehicles behind you to pass if you think they can overtake,Pull in when you can to let faster vehicles behind you overtake,Give a left signal when it's safe for vehicles to overtake you,Pull in when you can to let faster vehicles behind you overtake
5,Which of these signs are you allowed to ride past on a solo motorcycle?,,,,,REQUIRES OPTIONS (image-based)
6,You're on a country road. What should you expect to see coming towards you on your side of the road?,Motorcycles,Bicycles,Pedestrians,Horse riders,Pedestrians
7,Which type of glasses should not be worn when riding at night?,Half-moon,Round,Bifocal,Tinted,Tinted
8,What should you do before starting a motorcycle engine?,Check that the neutral lamp shows when the ignition is switched on,Select first gear and apply the rear brake lightly,Select first gear and apply the front brake firmly,Check that your dipped headlights and tail light are on,Check that the neutral lamp shows when the ignition is switched on
9,You’re riding in heavy rain. Why should you try to avoid this marked area?,It’s illegal to ride over bus stops,The painted lines may be slippery,Cyclists may be using the bus stop,Only emergency vehicles may drive over bus stops,The painted lines may be slippery
10,Where should you take particular care to look out for other motorcyclists and cyclists?,On dual carriageways,At junctions,At zebra crossings,On one-way streets,At junctions
11,You're carrying a pillion passenger on your motorcycle. What should you adjust to allow for the extra weight?,The preload on the front forks,The preload on the rear shock absorber(s),The balance of the rear wheel,The front and rear wheel alignment,The preload on the rear shock absorber(s)
